date,AEDUSD,SARUSD,KWDUSD,QARUSD,GBPUSD,EURUSD,JPYUSD,HKDUSD
2025-01-02,0.2723,0.2666,3.2500,0.2747,1.2650,1.0780,0.00670,0.1280
2025-01-03,0.2723,0.2666,3.2510,0.2747,1.2680,1.0795,0.00668,0.1281
2025-01-06,0.2723,0.2666,3.2490,0.2747,1.2620,1.0760,0.00672,0.1279
2025-01-07,0.2723,0.2666,3.2505,0.2747,1.2700,1.0815,0.00665,0.1282
2025-01-08,0.2723,0.2666,3.2515,0.2747,1.2710,1.0820,0.00663,0.1283
2025-01-09,0.2723,0.2666,3.2480,0.2747,1.2690,1.0800,0.00667,0.1280
2025-01-10,0.2723,0.2666,3.2495,0.2747,1.2720,1.0830,0.00664,0.1281
2025-01-13,0.2723,0.2666,3.2510,0.2747,1.2660,1.0770,0.00669,0.1279
2025-01-14,0.2723,0.2666,3.2500,0.2747,1.2640,1.0750,0.00671,0.1278
2025-01-15,0.2723,0.2666,3.2520,0.2747,1.2700,1.0810,0.00666,0.1282
